carbon monoxide,entity,physical_entity,matter,substance,material,chemical,compound,oxide,monoxide,carbon_monoxide
carbon monoxide,entity,abstraction,relation,part,substance,material,chemical,compound,oxide,monoxide,carbon_monoxide
cash in advance,entity,abstraction,relation,possession,assets,sum,advance
data processing,entity,physical_entity,process,processing,data_processing
data protection,entity,abstraction,psychological_feature,event,act,activity,protection
electronic mail,entity,abstraction,psychological_feature,event,act,communication,transmission,electronic_communication,electronic_mail
everything else,No tag avaliable
family planning,entity,abstraction,psychological_feature,event,act,activity,preparation,planning,birth_control
heart throbbing,entity,abstraction,psychological_feature,event,happening,sound,throbbing
herbal medicine,entity,physical_entity,causal_agent,agent,drug,medicine,herbal_medicine
herbal medicine,entity,physical_entity,matter,substance,agent,drug,medicine,herbal_medicine
high technology,entity,abstraction,psychological_feature,event,act,activity,use,application,technology,high_technology
high technology,entity,abstraction,psychological_feature,event,act,activity,occupation,profession,technology,high_technology
insider trading,entity,abstraction,psychological_feature,event,act,group_action,transaction,commerce,trading,insider_trading
insider trading,entity,abstraction,psychological_feature,event,group_action,transaction,commerce,trading,insider_trading
interior design,entity,abstraction,psychological_feature,event,act,activity,occupation,trade,interior_decoration
life expectancy,entity,abstraction,psychological_feature,cognition,content,belief,expectation,anticipation,life_expectancy
market research,entity,abstraction,psychological_feature,event,act,activity,work,investigation,research,marketing_research
mass production,entity,abstraction,psychological_feature,event,act,group_action,transaction,commerce,commercial_enterprise,industry,production,mass_production
mass production,entity,abstraction,psychological_feature,event,group_action,transaction,commerce,commercial_enterprise,industry,production,mass_production
maternity leave,entity,abstraction,measure,fundamental_quantity,time_period,time_off,leave
natural science,entity,abstraction,psychological_feature,cognition,content,knowledge_domain,discipline,science,natural_science
nuclear fission,entity,physical_entity,process,natural_process,nuclear_reaction,fission
nuclear physics,entity,abstraction,psychological_feature,cognition,content,knowledge_domain,discipline,science,natural_science,physics,nuclear_physics
paid employment,entity,abstraction,attribute,state,employment
plastic surgery,entity,abstraction,psychological_feature,event,act,activity,procedure,medical_procedure,operation,plastic_surgery
quality control,entity,abstraction,psychological_feature,event,act,activity,control,internal_control,quality_control
racial equality,entity,abstraction,attribute,quality,sameness,equality
repeat business,entity,abstraction,group,social_group,organization,enterprise,business
science fiction,entity,abstraction,communication,written_communication,writing,literary_composition,fiction,fantasy,science_fiction
unprotected sex,entity,physical_entity,process,organic_process,bodily_process,sexual_activity
virtual reality,entity,abstraction,psychological_feature,event,act,activity,diversion,game,computer_game,virtual_reality
capital growth,entity,physical_entity,process,organic_process,growth
cardiac arrest,entity,abstraction,attribute,state,condition,physical_condition,pathological_state,ill_health,pathology,asystole
food poisoning,entity,abstraction,attribute,state,condition,physical_condition,pathological_state,ill_health,illness,food_poisoning
foreign policy,entity,abstraction,psychological_feature,cognition,process,higher_cognitive_process,thinking,reasoning,argumentation,policy,foreign_policy
global economy,entity,abstraction,group,system,economy
global warming,entity,physical_entity,process,natural_process,temperature_change,heating,global_warming
identification,entity,abstraction,psychological_feature,event,act,discovery,determination,designation
mainland China,entity,physical_entity,object,location,region,district,administrative_district,country,asian_country,china
milk chocolate,entity,physical_entity,matter,solid,food,chocolate,milk_chocolate
monsoon season,entity,abstraction,measure,fundamental_quantity,time_period,season
nervous energy,entity,physical_entity,process,phenomenon,natural_phenomenon,physical_phenomenon,energy
power steering,entity,physical_entity,object,whole,artifact,instrumentality,device,mechanism,steering_system,power_steering
public housing,entity,physical_entity,object,location,region,district,development,housing_development,housing_project
retirement age,entity,abstraction,attribute,property,age
salad dressing,entity,physical_entity,matter,substance,food,foodstuff,ingredient,flavorer,condiment,sauce,dressing
secret service,entity,abstraction,group,social_group,organization,unit,administrative_unit,intelligence,united_states_intelligence_agency,united_states_secret_service
something else,No tag avaliable
sparkling wine,entity,physical_entity,matter,substance,food,beverage,alcohol,wine,sparkling_wine
sparkling wine,entity,physical_entity,matter,substance,fluid,liquid,beverage,alcohol,wine,sparkling_wine
sparkling wine,entity,abstraction,relation,part,substance,fluid,liquid,beverage,alcohol,wine,sparkling_wine
sparkling wine,entity,physical_entity,causal_agent,agent,drug,drug_of_abuse,alcohol,wine,sparkling_wine
sparkling wine,entity,physical_entity,matter,substance,agent,drug,drug_of_abuse,alcohol,wine,sparkling_wine
tomato ketchup,entity,physical_entity,matter,substance,food,foodstuff,ingredient,flavorer,condiment,catsup
transportation,entity,physical_entity,object,whole,artifact,facility,transportation_system
Amazon(AMZN),NERs that don't have defined tags
anything else,No tag avaliable
birth control,entity,abstraction,psychological_feature,event,act,activity,preparation,planning,birth_control
brand loyalty,entity,abstraction,attribute,quality,fidelity,loyalty
chain smoking,smoking
hard currency,entity,abstraction,measure,system_of_measurement,standard,medium_of_exchange,currency,hard_currency
high pressure,entity,physical_entity,process,phenomenon,natural_phenomenon,physical_phenomenon,pressure
mineral water,entity,physical_entity,matter,substance,food,beverage,drinking_water,mineral_water
mineral water,entity,physical_entity,matter,substance,fluid,liquid,beverage,drinking_water,mineral_water
mineral water,entity,abstraction,relation,part,substance,fluid,liquid,beverage,drinking_water,mineral_water
mineral water,entity,physical_entity,matter,substance,food,water,drinking_water,mineral_water
mineral water,entity,physical_entity,matter,substance,fluid,liquid,water,drinking_water,mineral_water
mineral water,entity,abstraction,relation,part,substance,fluid,liquid,water,drinking_water,mineral_water
mineral water,entity,physical_entity,matter,substance,nutrient,water,drinking_water,mineral_water
national debt,entity,abstraction,relation,possession,liabilities,debt,national_debt
public sector,entity,abstraction,attribute,shape,figure,plane_figure,sector
shaving cream,entity,abstraction,attribute,shape,round_shape,sphere,ball,globule,bubble,foam,soapsuds,shaving_cream
shaving cream,entity,physical_entity,object,whole,artifact,instrumentality,toiletry,shaving_cream
show business,entity,abstraction,group,social_group,organization,enterprise,commercial_enterprise,industry,entertainment_industry
St Petersburg,entity,physical_entity,object,location,region,district,administrative_district,municipality,town,petersburg
St Petersburg,entity,physical_entity,object,location,region,geographical_area,urban_area,municipality,town,petersburg
standing room,entity,abstraction,relation,position,room,standing_room
architecture,entity,physical_entity,object,whole,artifact,structure,building,architecture
black coffee,entity,physical_entity,matter,substance,food,beverage,coffee
black coffee,entity,physical_entity,matter,substance,fluid,liquid,beverage,coffee
black coffee,entity,abstraction,relation,part,substance,fluid,liquid,beverage,coffee
compensation,entity,abstraction,relation,possession,transferred_property,outgo,cost,payment,recompense,compensation
construction,entity,abstraction,psychological_feature,event,act,activity,creation,creating_from_raw_materials,construction
data capture,entity,abstraction,psychological_feature,event,act,acquiring,capture
dry cleaning,entity,abstraction,psychological_feature,event,act,action,change,change_of_state,improvement,cleaning,dry_cleaning
ground staff,entity,abstraction,group,social_group,organization,force,staff
moonlighting,work,moonlight
nail varnish,entity,physical_entity,object,whole,artifact,instrumentality,toiletry,cosmetic,nail_polish
nail varnish,entity,physical_entity,object,whole,artifact,covering,coating,enamel,nail_polish
nothing else,No tag avaliable
orange juice,entity,physical_entity,matter,substance,food,beverage,fruit_juice,orange_juice
orange juice,entity,physical_entity,matter,substance,fluid,liquid,beverage,fruit_juice,orange_juice
orange juice,entity,abstraction,relation,part,substance,fluid,liquid,beverage,fruit_juice,orange_juice
panic buying,entity,abstraction,psychological_feature,event,act,acquiring,acquisition,purchase,buying
pest control,entity,abstraction,attribute,quality,power,control
road holding,entity,abstraction,psychological_feature,event,act,activity,control,possession,retention
room service,entity,abstraction,psychological_feature,event,act,activity,work,service
scuba diving,entity,abstraction,psychological_feature,event,act,activity,diversion,sport,water_sport,swimming,skin_diving,scuba_diving
show jumping,entity,abstraction,psychological_feature,event,act,activity,diversion,sport,track_and_field,jumping
skimmed milk,entity,physical_entity,matter,substance,food,beverage,milk,skim_milk
skimmed milk,entity,physical_entity,matter,substance,fluid,liquid,beverage,milk,skim_milk
skimmed milk,entity,abstraction,relation,part,substance,fluid,liquid,beverage,milk,skim_milk
skimmed milk,entity,physical_entity,matter,substance,food,foodstuff,dairy_product,milk,skim_milk
small change,entity,abstraction,measure,system_of_measurement,standard,medium_of_exchange,currency,cash,small_change
solar energy,entity,physical_entity,process,phenomenon,natural_phenomenon,physical_phenomenon,energy,alternative_energy,solar_energy
soy bean oil,entity,physical_entity,thing,unit,molecule,macromolecule,lipid,oil
soy bean oil,entity,physical_entity,matter,substance,material,chemical,compound,organic_compound,macromolecule,lipid,oil
soy bean oil,entity,abstraction,relation,part,substance,material,chemical,compound,organic_compound,macromolecule,lipid,oil
surface mail,entity,abstraction,communication,message,mail,surface_mail
table tennis,entity,abstraction,psychological_feature,event,act,activity,game,table_game,table_tennis
toilet paper,entity,physical_entity,matter,substance,material,paper,tissue,toilet_tissue
toilet paper,entity,abstraction,relation,part,substance,material,paper,tissue,toilet_tissue
wire netting,entity,abstraction,psychological_feature,event,act,activity,creation,art,arts_and_crafts,handicraft,weaving,netting
wire netting,entity,abstraction,psychological_feature,event,act,activity,occupation,trade,handicraft,weaving,netting
apple sauce,entity,physical_entity,matter,substance,food,nutriment,dish,applesauce
bellyaching,complain,gripe
boiled rice,entity,physical_entity,matter,substance,food,foodstuff,grain,rice
boiled rice,entity,physical_entity,matter,substance,food,foodstuff,starches,rice
brute force,entity,abstraction,attribute,quality,power,influence,force
casual wear,entity,abstraction,attribute,state,condition,unsoundness,decay,deterioration,wear
chicken pox,entity,abstraction,attribute,state,condition,physical_condition,pathological_state,ill_health,illness,disease,communicable_disease,contagious_disease,pox
convenience,entity,abstraction,attribute,state,condition,comfort,convenience
cooperation,entity,abstraction,psychological_feature,event,act,group_action,cooperation
cooperation,entity,abstraction,psychological_feature,event,group_action,cooperation
deprivation,entity,abstraction,attribute,state,condition,financial_condition,poverty,privation
electricity,entity,physical_entity,process,phenomenon,natural_phenomenon,physical_phenomenon,electricity
engineering,entity,abstraction,psychological_feature,event,act,activity,use,application,technology
engineering,entity,abstraction,psychological_feature,event,act,activity,occupation,profession,technology
first class,entity,abstraction,attribute,property,degree,quality,superiority,first_class
foam rubber,entity,physical_entity,matter,substance,material,foam,foam_rubber
foam rubber,entity,abstraction,relation,part,substance,material,foam,foam_rubber
foam rubber,entity,physical_entity,matter,substance,material,discharge,exudate,latex,rubber,foam_rubber
